unitId,term,hasRelatedQA,numMatches,numAnswerMatches,keywordMatches,definitionSnippet
"cs-1","Bit",true,3,1,"","Smallest unit of data; represents 0 or 1."
"cs-1","Nibble",false,0,0,"","Group of 4 bits."
"cs-1","Byte",false,0,0,"","Group of 8 bits."
"cs-1","Binary",true,2,3,"","Base-2 number system using digits 0 and 1."
"cs-1","Denary",true,3,1,"","Base-10 number system using digits 0–9."
"cs-1","Hexadecimal",true,4,0,"","Base-16 number system using 0–9 and A–F."
"cs-1","Overflow",true,1,0,"","Condition when a value exceeds the representable range."
"cs-1","Character set",false,0,1,"","Collection of characters each with a unique code."
"cs-1","ASCII",true,2,1,"","7/8-bit character encoding for Latin characters."
"cs-1","Unicode",true,1,0,"","Universal character encoding standard with code points."
"cs-1","pixel",false,0,1,"","Smallest addressable element of a raster image."
"cs-1","Resolution",true,2,1,"","Number of pixels in each dimension of an image."
"cs-1","Colour depth",true,2,1,"","Bits used to represent the colour of a pixel."
"cs-1","Metadata",false,0,0,"","Data describing other data such as dimensions or format."
"cs-1","graphic",false,0,0,"","Visual representation; raster or vector forms."
"cs-1","Vector graphics",false,0,0,"","Images defined using geometric primitives."
"cs-1","Sample rate",true,2,1,"","Samples per second measured in Hz."
"cs-1","Bit rate",false,0,0,"","Bits transmitted/stored per second."
"cs-1","Sampling resolution",false,0,0,"","Bits used to store each sample’s amplitude."
"cs-1","Compression",true,2,0,"","Reducing file size while preserving information."
"cs-1","Lossless compression",false,0,0,"","Compression without losing information."
"cs-1","Lossy compression",true,1,0,"","Compression that removes some information."
"cs-1","Run-length encoding (RLE)",false,0,0,"","Encoding consecutive repeated values as count-value pairs."
"cs-2","Serial transmission",false,0,1,"","Bits sent one after another over a single channel."
"cs-2","Parallel transmission",false,0,0,"","Multiple bits sent simultaneously across several channels."
"cs-2","Simplex",true,2,1,"","Communication in one direction only."
"cs-2","Half-duplex",true,1,0,"","Communication both ways but not at the same time."
"cs-2","Full-duplex",true,1,0,"","Communication both ways simultaneously."
"cs-2","Packet",true,2,4,"","Unit of data sent across a network with header and payload."
"cs-2","Header",false,0,1,"","Control information at the start of a packet."
"cs-2","Payload",false,0,1,"","User data carried in a packet."
"cs-2","Trailer",false,0,1,"","Data at the end of a packet, often for error checking."
"cs-2","Checksum",true,1,1,"","Calculated value used to detect errors in data."
"cs-2","Parity bit",false,0,0,"","Bit added to make the total number of 1s even/odd."
"cs-2","Even parity",false,0,0,"","Parity method ensuring an even number of 1s."
"cs-2","Odd parity",false,0,0,"","Parity method ensuring an odd number of 1s."
"cs-2","ARQ",true,1,0,"","Automatic repeat request protocol for retransmission."
"cs-2","ACK/NACK",false,0,0,"","Positive/negative acknowledgements to confirm receipt."
"cs-2","Protocol",false,0,0,"","Agreed rules for data communication."
"cs-2","Packet switching",true,1,0,"","Data split into packets routed independently."
"cs-2","Buffering",false,0,0,"","Storing data temporarily to manage differences in speed."
"cs-3","CPU",true,2,1,"","Central processing unit executing instructions."
"cs-3","ALU",true,1,1,"","Arithmetic logic unit performing operations."
"cs-3","Control unit",true,1,1,"","Directs operations of the processor."
"cs-3","Clock",true,1,1,"","Generates timing signals controlling the processor."
"cs-3","Register",false,0,0,"","Small, fast storage within the CPU."
"cs-3","Cache memory",false,0,0,"","Fast memory storing frequently accessed data."
"cs-3","RAM",true,1,3,"","Volatile main memory for programs and data in use."
"cs-3","ROM",true,1,1,"","Any one from:\n• Permanently store instructions (in ROM)\n• Stores instructions to boot up/start up the computer\n• Prov"
"cs-3","Bus",false,0,2,"","Set of wires carrying data, addresses and control signals."
"cs-3","Data bus",false,0,1,"","Transfers actual data between components."
"cs-3","Address bus",false,0,2,"","Carries memory addresses for data access."
"cs-3","Control bus",false,0,1,"","Carries control signals coordinating operations."
"cs-3","Von Neumann architecture",true,1,0,"","Shared memory for instructions and data."
"cs-3","Input device",true,1,0,"","Hardware used to enter data into a system."
"cs-3","Output device",true,2,0,"","Hardware used to present data from a system."
"cs-3","Sensor",true,1,2,"","Device detecting physical properties to produce data."
"cs-3","Actuator",false,0,1,"","Device converting data signals into physical action."
"cs-3","Secondary storage",false,0,1,"","Non-volatile storage for long-term data."
"cs-3","HDD",true,1,1,"","Magnetic storage using spinning disks."
"cs-3","SSD",true,1,2,"","Solid-state storage using flash memory."
"cs-3","Optical storage",true,1,0,"","Storage using lasers to read/write data."
"cs-3","Magnetic tape",false,0,0,"","Sequential access magnetic storage medium."
"cs-3","Embedded system",true,1,1,"","Computer dedicated to a specific function within a larger system."
"cs-3","Microcontroller",false,0,0,"","Integrated chip with CPU, memory and I/O for control tasks."
"cs-3","GPU",false,0,0,"","Processor specialized for graphics and parallel tasks."
"cs-4","System software",true,1,1,"","Any two from:\n• System software manages/maintains the hardware/software\n• Applications software allows the user to per"
"cs-4","Application software",true,1,1,"","Any two from:\n• System software manages/maintains the hardware/software\n• Applications software allows the user to per"
"cs-4","Utility software",false,0,0,"","Programs performing maintenance or optimization tasks."
